"","Player","Offseason.Year","Years","AAV","Predicted_AAV","Predicted_Years","AAV_diff","Year_diff"
"1","Adam Ottavino",2019,3,8e+06,9049787.76236667,1.89520743637958,-1049787.76236667,1.10479256362042
"2","Adam Ottavino",2022,1,4e+06,4635579.72043333,1.10673822074126,-635579.720433333,-0.106738220741259
"3","Adam Ottavino",2023,2,7250000,8356229.9452,1.87929220165235,-1106229.9452,0.120707798347646
"4","Adam Ottavino",2024,1,4500000,4861783.8823,1.3279631588167,-361783.882300001,-0.327963158816702
"5","Adam Wainwright",2019,1,2e+06,4295822.77056666,1.07221827156864,-2295822.77056666,-0.0722182715686439
"6","Adam Wainwright",2020,1,5e+06,5898403.04183333,1.03134696662432,-898403.041833332,-0.0313469666243202
"7","Adam Wainwright",2021,1,8e+06,6838621.93126667,1.23179382978519,1161378.06873333,-0.231793829785188
"8","Alex Cobb",2018,4,14250000,13868987.7692667,2.27349134487106,381012.230733335,1.72650865512894
"9","Alex Cobb",2022,2,1e+07,8939962.21123333,1.50335356588579,1060037.78876667,0.496646434114214
"10","Alex Wood",2020,1,4e+06,8702790.26326666,2.44180168759996,-4702790.26326666,-1.44180168759996
"11","Alex Wood",2022,2,12500000,12944220.9833333,2.70070880088717,-444220.983333336,-0.700708800887172
"12","Alex Wood",2024,1,8500000,7346160.83053333,1.24826851519201,1153839.16946667,-0.248268515192012
"13","Andrew Cashner",2017,1,1e+07,7785216.64123333,1.2622315046935,2214783.35876667,-0.2622315046935
"14","Andrew Cashner",2018,2,8e+06,9598397.1833,1.17580197537477,-1598397.1833,0.824198024625233
"15","Andrew Chafin",2021,1,2250000,4312422.48983333,1.33501138289132,-2062422.48983333,-0.335011382891321
"16","Andrew Chafin",2022,2,6500000,7746976.64373333,1.95457440507833,-1246976.64373333,0.0454255949216731
"17","Andrew Miller",2019,2,12500000,14498843.2791,2.18398077440615,-1998843.2791,-0.18398077440615
"18","Anthony DeSclafani",2021,1,6e+06,8794606.09323333,2.00130961940684,-2794606.09323333,-1.00130961940684
"19","Anthony DeSclafani",2022,3,1.2e+07,12884034.5161333,1.95136367888177,-884034.516133333,1.04863632111823
"20","Aroldis Chapman",2017,5,17200000,15180514.7004333,2.25036625607063,2019485.29956667,2.74963374392937
"21","Bartolo Colon",2016,1,7250000,8441874.71826667,0.901107402225522,-1191874.71826667,0.0988925977744781
"22","Bartolo Colon",2017,1,12500000,11765863.8852,1.18254331138736,734136.114800001,-0.182543311387365
"23","Brad Boxberger",2022,1,2500000,5869086.66566666,1.37241807417136,-3369086.66566666,-0.372418074171359
"24","Brad Boxberger",2023,1,2800000,4028010.8328,1.34947626664057,-1228010.8328,-0.349476266640575
"25","Brad Brach",2019,1,3e+06,4267803.33283333,1.29674286707292,-1267803.33283333,-0.296742867072922
"26","Brad Hand",2021,1,10500000,10450139.1020333,1.97035157751867,49860.8979666699,-0.97035157751867
"27","Brad Hand",2022,1,6e+06,5495121.66403333,1.16188581874183,504878.335966666,-0.161885818741828
"28","Brandon Kintzler",2018,2,5e+06,5752113.88486667,1.87306481862207,-752113.884866665,0.126935181377932
"29","Brandon Kintzler",2020,1,3250000,3934929.1667,0.779901006629452,-684929.1667,0.220098993370548
"30","Brett Anderson",2016,1,15800000,13134389.4218333,2.07921755566741,2665610.57816667,-1.07921755566741
"31","Brett Anderson",2019,1,1500000,4716338.04433333,1.57812220183547,-3216338.04433333,-0.578122201835471
"32","Brett Anderson",2020,1,5e+06,8655022.7523,1.39534478807669,-3655022.7523,-0.395344788076687
"33","Brian Duensing",2018,2,3500000,4535923.88526667,1.13531846270522,-1035923.88526667,0.864681537294782
"34","Bryan Shaw",2018,3,9e+06,8678501.93153334,1.92678986951071,321498.068466661,1.07321013048929
"35","Bryan Shaw",2022,1,3e+06,3514292.50166667,0.95461201631631,-514292.501666666,0.0453879836836899
